ingredient,Biotin,"Calcium, Ca","Carbohydrate, by difference",Cholesterol,"Choline, total","Copper, Cu","Fatty acids, total saturated","Fiber, total dietary","Folate, total","Iron, Fe","Magnesium, Mg","Manganese, Mn","Molybdenum, Mo",Niacin,Pantothenic acid,"Phosphorus, P","Potassium, K",Protein,Riboflavin,"Selenium, Se","Sodium, Na",Thiamin,Total lipid (fat),"Vitamin A, IU",Vitamin B-12,Vitamin B-6,"Vitamin C, total ascorbic acid",Vitamin D (D2 + D3),Vitamin E (alpha-tocopherol),Vitamin K (phylloquinone),"Zinc, Zn"
almond,0.0,0.26692307692307693,0.06836363636363636,0.0,0.09472727272727273,1.037777777777778,0.3275,0.3678571428571429,0.1325,0.1938888888888889,0.6642857142857143,0.0,0.0,0.1975,0.0,0.4064,0.15914893617021278,0.42,0.7223076923076922,0.04363636363636363,0.09869565217391305,0.03416666666666667,0.7115384615384616,0.0,0.0,0.060588235294117644,0.0,0.0,1.6133333333333333,0.0,0.2990909090909091
anchovy,0.0,0.17846153846153845,0.0,0.2833333333333333,0.15454545454545454,0.3766666666666667,0.11000000000000001,0.0,0.0325,0.25722222222222224,0.16428571428571428,0.0,0.0,1.24375,0.0,0.2016,0.11574468085106383,0.578,0.2792307692307692,1.238181818181818,1.5956521739130434,0.065,0.1244871794871795,0.0,0.3666666666666667,0.11941176470588237,0.0,0.08499999999999999,0.222,0.10083333333333333,0.2218181818181818
anise,0.0,0.4969230769230769,0.18181818181818182,0.0,0.0,1.011111111111111,0.0293,0.5214285714285715,0.025,2.0555555555555554,0.40476190476190477,1.0,0.0,0.19125,0.15940000000000001,0.352,0.30638297872340425,0.35200000000000004,0.22307692307692306,0.09090909090909091,0.006956521739130435,0.2833333333333334,0.20384615384615384,0.34555555555555556,0.0,0.3823529411764706,0.23333333333333334,0.0,0.0,0.0,0.4818181818181818
apple,0.0,0.0,0.052000000000000005,0.0,0.0,0.0,0.0,0.1142857142857143,0.0,0.012777777777777779,0.0,0.0,0.0,0.0,0.0,0.0,0.023404255319148935,0.0,0.0,0.0,0.0,0.0,0.008333333333333333,0.07222222222222222,0.0,0.0,0.034444444444444444,0.0,0.0,0.0,0.0
apricot,0.0,0.0,0.04909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015106382978723404,0.0,0.0,0.0,0.0026086956521739132,0.0,0.0,0.4088888888888889,0.0,0.0,0.19555555555555557,0.0,0.0,0.0,0.0
artichoke,0.0,0.0,0.01210909090909091,0.0,0.0,0.0,0.08349999999999999,0.060714285714285714,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0334,0.0,0.0,0.13043478260869565,0.0,0.08551282051282051,1.8555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arugula,0.0,0.13538461538461538,0.012836363636363635,0.0,0.0,0.0,0.0,0.04285714285714286,0.0,0.07055555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047,0.0,0.0,0.012608695652173913,0.0,0.007564102564102564,2.611111111111111,0.0,0.0,0.15666666666666668,0.0,0.0,0.0,0.0
asian pear,0.0,0.003076923076923077,0.03854545454545454,0.0,0.009272727272727273,0.05555555555555556,0.0006000000000000001,0.1285714285714286,0.02,0.0,0.01904761904761905,0.0,0.0,0.0136875,0.0,0.0088,0.02574468085106383,0.01,0.007692307692307692,0.0018181818181818182,0.0,0.0075,0.002948717948717949,0.0,0.0,0.012941176470588235,0.042222222222222223,0.0,0.008,0.0375,0.0018181818181818182
asparagus,0.0,0.018461538461538463,0.012836363636363635,0.0,0.0,0.0,0.0,0.08571428571428572,0.0,0.11777777777777779,0.0,0.0,0.0,0.0,0.0,0.0,0.04297872340425532,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06555555555555556,0.0,0.0,0.0,0.0
avocado,0.0,0.026153846153846153,0.026763636363636364,0.13333333333333333,0.006545454545454545,0.011111111111111112,0.29900000000000004,0.0035714285714285718,0.01,0.019444444444444445,0.016666666666666666,0.0,0.0,0.00875,0.0,0.0248,0.012340425531914894,0.038,0.038461538461538464,0.02909090909090909,0.3769565217391304,0.016666666666666666,0.555128205128205,0.0,0.10833333333333334,0.0058823529411764705,0.0022222222222222222,0.0,0.30666666666666664,0.8058333333333334,0.022727272727272728
