,title,url,rating
0,"Lentil, Apple, and Turkey Wrap ",http://www.epicurious.com/recipes/food/views/lentil-apple-and-turkey-wrap-239173,2.5
1,Boudin Blanc Terrine with Red Onion Confit ,http://www.epicurious.com/recipes/food/views/boudin-blanc-terrine-with-red-onion-confit-1085,4.375
2,Potato and Fennel Soup Hodge ,http://www.epicurious.com/recipes/food/views/potato-and-fennel-soup-hodge-10224,3.75
3,Mahi-Mahi in Tomato Olive Sauce ,http://www.epicurious.com/recipes/food/views/mahi-mahi-in-tomato-olive-sauce-352551,5.0
4,Spinach Noodle Casserole ,http://www.epicurious.com/recipes/food/views/our-favorite-lasagna-with-sausage-spinach-and-three-cheeses-51253440,3.125
5,The Best Blts ,http://www.epicurious.com/recipes/food/views/the-best-blts-101977,4.375
6,Ham and Spring Vegetable Salad with Shallot Vinaigrette ,http://www.epicurious.com/recipes/food/views/ham-and-spring-vegetable-salad-with-shallot-vinaigrette-5212,4.375
7,Spicy-Sweet Kumquats ,http://www.epicurious.com/recipes/food/views/spicy-sweet-kumquats-102726,3.75
8,Korean Marinated Beef ,http://www.epicurious.com/recipes/food/views/instant-pot-japchae,4.375
9,Ham Persillade with Mustard Potato Salad and Mashed Peas ,http://www.epicurious.com/recipes/food/views/ham-persillade-with-mustard-potato-salad-and-mashed-peas-243208,3.75
10,"Yams Braised with Cream, Rosemary and Nutmeg ",http://www.epicurious.com/recipes/food/views/yams-braised-with-cream-rosemary-and-nutmeg-15640,3.75
11,Spicy Noodle Soup ,http://www.epicurious.com/recipes/food/views/bun-bo-hue-51115000,4.375
12,Banana-Chocolate Chip Cake With Peanut Butter Frosting ,http://www.epicurious.com/recipes/food/views/banana-chocolate-chip-cake-with-peanut-butter-frosting-51117350,4.375
13,Beef Tenderloin with Garlic and Brandy ,http://www.epicurious.com/recipes/food/views/beef-tenderloin-with-garlic-and-brandy-5861,4.375
14,Peach Mustard ,http://www.epicurious.com/recipes/food/views/charred-peach-panzanella-pickled-pepper-vinaigrette,3.125
15,Raw Cream of Spinach Soup ,http://www.epicurious.com/recipes/food/views/raw-cream-of-spinach-soup-109007,4.375
16,Sweet Buttermilk Spoon Breads ,http://www.epicurious.com/recipes/food/views/sweet-buttermilk-spoon-breads-351045,1.875
17,Crisp Braised Pork Shoulder ,http://www.epicurious.com/recipes/food/views/crisp-braised-pork-shoulder-237599,4.375
18,Mozzarella-Topped Peppers with Tomatoes and Garlic ,http://www.epicurious.com/recipes/food/views/mozzarella-topped-peppers-with-tomatoes-and-garlic-15564,5.0
19,"Tuna, Asparagus, and New Potato Salad with Chive Vinaigrette and Fried Capers ",http://www.epicurious.com/recipes/food/views/tuna-asparagus-and-new-potato-salad-with-chive-vinaigrette-and-fried-capers-352094,5.0
20,Asian Pear and Watercress Salad with Sesame Dressing ,http://www.epicurious.com/recipes/food/views/asian-pear-and-watercress-salad-with-sesame-dressing-105212,4.375
21,"""Fried"" Chicken ",http://www.epicurious.com/recipes/food/views/kung-pao-chicken-51179600,3.75
22,Fish Fillets in Parchment with Asparagus and Orange ,http://www.epicurious.com/recipes/food/views/fish-fillets-in-parchment-with-asparagus-and-orange-241849,3.75
